title,date,description,picture_filename,count_of_search_phrases,contains_money
Is­rael artist says Venice Bi­en­nale pavil­ion won't open un­til Gaza ...,16 Apr 2024,"1 day ago ... Be­fore its open­ing, rep­re­sen­ta­tives of the ­me­di­a were giv­en a pre­view of the coun­tries' pavil­ions on Tues­day. “If I am giv­en such a ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQc6_icW94nDmRu7BUi6dZSgsqEDz5MibG6br5zAsNFdPhv23mLaDGJDZo&s&resize=770%2C513&quality=80,0,False
"Knife at­tack at church in Aus­trali­a's Syd­ney a 'ter­ror­ist act', po­lice say ...",16 Apr 2024,1 day ago ... Po­lice of­fi­cers hos­pi­talised af­ter riot. The church in a mes­sage on so­cial ­me­di­a said the bish­op and priest were in sta­ble ...,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXkMp3JOB0JAF-FMaAU-LVu8LbRYeuAlcxTRCmwqE4yFGmQpXNJsgeGR4&s&resize=770%2C513&quality=80,0,False
Pro-Pales­tin­ian pro­test­ers paral­yse roads in US cities over war on ...,16 Apr 2024,1 day ago ... So­cial ­me­di­a posts showed peo­ple hold­ing a ban­ner and wav­ing ... © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZYxDN5JqDaYky21JNzNH-Us_4IfuEnmPHCKLGB4lCduiyygXBGDrDeRE&s&resize=770%2C513&quality=80,0,False
"Chat­G­PT ri­val 'Ernie Bot' now has 200 mil­lion users, Chi­na's Baidu ...",16 Apr 2024,"1 day ago ... Last week, state ­me­di­a re­port­ed that 117 large AI mod­els had re­ceived ap­provals so far. ... © 2024 Al Jazeera Me­dia Net­work.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYKIoqXZULXwMh7QJQrHb_xsLVZTFZkFjcYlXkRZ8BP0_k1D9UGocVUZIy&s&resize=770%2C513&quality=80,0,False
Map­ping Is­rael-Lebanon cross-bor­der at­tacks | Is­rael War on Gaza ...,16 Apr 2024,"2 days ago ... 368 peo­ple killed. Us­ing lo­cal ­me­di­a re­ports and state­ments from Hezbol­lah and oth­er armed groups, Al Jazeera com­piled a list of 368 peo­ple ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSi5jOPP9dKb9Oglt7TcZNl2yj2Mndeqzd_wbO-znB0zId0DV-NjlGzjJ3y&s&resize=770%2C513&quality=80,0,False
Six take­aways from first day of Trump's New York hush mon­ey ...,16 Apr 2024,"2 days ago ... They point­ed to re­cent so­cial ­me­di­a posts Trump made, in­clud­ing one about his for­mer lawyer and fix­er Michael Co­hen. Trump called him a “ ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3F2LeeulL8hd4-KUh8AMYlMqYJb_VUx7nXXWb1aYhfBX43hlIZ5kmrD8&s&resize=770%2C513&quality=80,0,False
Trump hush mon­ey tri­al be­gins in New York: Why is the case so ...,15 Apr 2024,2 days ago ... Amer­i­can Me­dia es­caped any pros­e­cu­tion in re­turn for its co­op­er­a­tion in the cam­paign fi­nance in­ves­ti­ga­tion that led to Co­hen's guilty plea and ...,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX8H6rYF_5hI0GsmhyDjpv7th6rOr-1igX86VuYI4Q9wFUZlEwksj5QOXf&s&resize=770%2C513&quality=80,0,False
Mod­i's elec­tions or Dic­ta­tor Aladeen's Olympics? | In­dia Elec­tion ...,15 Apr 2024,2 days ago ... We are then told that he has won a to­tal of 14 medals in the Olympic Games. This scene has be­come quite pop­u­lar on In­di­an so­cial ­me­di­a since it ...,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuRxxcVijxxUc1I1HUcL8B50AvA0r81ZHp4li6bxPtAu-XRLa2gqxq9vQ&s&resize=770%2C513&quality=80,0,False
Pak­istan probes shoot­ing of ac­cused in 2013 mur­der of al­leged ...,15 Apr 2024,"2 days ago ... Amir Tam­ba, who was ac­quit­ted in Sarab­jit Singh's killing, is crit­i­cal­ly in­jured in La­hore shoot­ing, ­me­di­a re­ports say.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdPX8QSs7uFNo7pdTHdY-4knrZPfksVG4VTAV95v7YWg63nAfckzRlj9g&s&resize=770%2C513&quality=80,0,False
"Iran at­tacks Is­rael with over 300 drones, mis­siles: What you need to ...",15 Apr 2024,"3 days ago ... On Sat­ur­day, Iran­ian state ­me­di­a an­nounced that the armed forces had seized an Is­rael-linked con­tain­er ship near the Strait of Hor­muz.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR76midBwse_qyYQpZjsSVZlO0KdDxEhzipFZtA1jYc-rfhxIxYkqN9Dys&s&resize=770%2C513&quality=80,0,False
